N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
158,KODEX 레버리지,"25,515",60,-0.23%,0,"14,952","58,600",3.57,"64,199,899",N/A,N/A,
159,KODEX 종합채권(AA-이상)액티브,"109,950",105,-0.10%,0,"14,942","13,590",0.00,"11,772",N/A,N/A,
160,LG생활건강우,"705,000","3,000",-0.42%,"5,000","14,803","2,100",84.50,"2,791",15.80,N/A,
161,롯데정밀화학,"56,900",300,-0.52%,"5,000","14,680","25,800",23.06,"295,310",8.58,11.73,
162,NHN,"74,800",800,+1.08%,500,"14,635","19,565",11.44,"132,606",49.83,0.78,
163,지누스,"99,200",100,-0.10%,500,"14,291","14,407",22.00,"48,564",20.02,26.32,
164,영원무역,"31,650",750,-2.31%,500,"14,025","44,311",23.61,"262,456",8.56,9.82,
165,한국테크놀로지그룹,"14,300",0,0.00%,500,"13,302","93,020",6.72,"227,204",11.94,4.71,
166,메리츠금융지주,"9,910",190,+1.95%,500,"13,281","134,011",8.17,"148,579",2.85,15.26,
167,F&F,"85,300","1,300",-1.50%,500,"13,136","15,400",9.25,"129,385",15.08,25.13,
168,한전KPS,"28,800",250,-0.86%,200,"12,960","45,000",11.23,"296,300",10.69,14.98,
169,KG동부제철,"12,950",0,0.00%,"5,000","12,951","100,009",0.19,"544,220",15.72,-7.44,
170,KODEX 코스닥150 레버리지,"16,850",165,-0.97%,0,"12,705","75,400",1.76,"22,936,382",N/A,N/A,
171,SK네트웍스,"5,100",130,-2.49%,"2,500","12,658","248,188",12.30,"1,498,174",-22.08,-5.85,
172,이노션,"62,500",300,+0.48%,500,"12,500","20,000",29.17,"83,029",19.46,9.88,
173,SK디스커버리,"65,200",600,-0.91%,"5,000","12,413","19,038",9.40,"87,685",4.28,11.52,
174,KBSTAR 200,"41,170",50,-0.12%,0,"12,269","29,800",0.11,"371,207",N/A,N/A,
175,대한전선,"1,415",50,+3.66%,500,"12,119","856,473",2.09,"27,515,132",-78.61,-3.99,
176,일양약품,"62,500",600,-0.95%,"2,500","11,929","19,086",7.82,"246,405",115.53,5.20,
177,한국콜마,"51,600",100,+0.19%,500,"11,807","22,881",26.94,"426,281",37.12,6.39,
178,LG전자우,"67,100","2,800",-4.01%,"5,000","11,532","17,186",40.38,"1,070,468",14.57,N/A,
179,신세계인터내셔날,"161,500","3,000",-1.82%,"5,000","11,531","7,140",4.85,"48,596",25.57,12.98,
180,코오롱인더,"42,500",950,+2.29%,"5,000","11,466","26,979",15.43,"675,823",7.61,1.58,
181,DGB금융지주,"6,750",30,-0.44%,"5,000","11,417","169,146",46.69,"747,926",3.44,7.31,
182,더블유게임즈,"61,900",600,+0.98%,500,"11,374","18,375",14.56,"173,372",10.61,18.93,
183,유나이티드제약,"69,400","2,000",+2.97%,500,"11,274","16,245",5.11,"4,514,574",37.47,12.79,
184,후성,"11,900",250,-2.06%,500,"11,020","92,607",4.42,"2,985,096",-216.36,3.85,
185,JB금융지주,"5,510",80,-1.43%,"5,000","10,854","196,983",38.94,"408,440",3.14,10.36,
186,금호타이어,"3,690",5,-0.14%,"5,000","10,600","287,260",4.32,"554,372",-10.57,-3.30,
187,파미셀,"17,500",200,+1.16%,500,"10,493","59,959",7.93,"1,325,573",152.17,8.78,
188,영풍,"567,000","1,000",+0.18%,"5,000","10,444","1,842",4.68,"2,700",5.63,7.40,
189,롯데관광개발,"15,000",150,-0.99%,500,"10,391","69,276",5.13,"253,944",-22.03,-4.77,
190,다우기술,"23,100",400,+1.76%,500,"10,364","44,867",22.48,"520,820",3.71,14.62,
191,휴켐스,"25,300",650,-2.50%,"1,000","10,342","40,879",8.49,"409,628",21.46,10.82,
192,LG상사,"26,600",50,+0.19%,"5,000","10,310","38,760",21.97,"437,770",7.25,2.49,
193,진원생명과학,"22,600",550,+2.49%,"1,000","10,118","44,771",11.67,"3,131,120",-65.51,-28.50,
194,GKL,"16,300",150,-0.91%,500,"10,082","61,856",5.95,"385,809",-75.81,12.62,
195,티와이홀딩스,"26,700",550,-2.02%,500,"10,013","37,501",7.55,"300,867",N/A,N/A,
196,코스맥스,"98,500","1,500",-1.50%,500,"9,899","10,050",24.74,"89,896",24.38,10.45,
197,SK가스,"105,500","4,000",+3.94%,"5,000","9,738","9,230",9.01,"54,377",2.47,9.85,
198,롯데칠성,"108,000","2,000",+1.89%,500,"9,693","8,975",10.97,"92,660",-11.08,-11.68,
199,세방전지,"69,000","2,700",-3.77%,500,"9,660","14,000",27.10,"293,638",13.07,7.70,
200,보령제약,"20,200",200,+1.00%,500,"9,619","47,620",7.81,"1,321,010",36.20,11.96,
